,Solar_CURRENT GENERATION (kW),Solar_COST OPTIMIZED GENERATION (kW),Solar_RELIABILITY OPTIMIZED GENERATION (kW),Solar_CURRENT COST/HR,Solar_COST OPTIMIZED COST/HR,Solar_RELIABILITY OPTIMIZED COST/HR,Solar_TOTAL COST (PKR/kWh),Wind_CURRENT GENERATION (kW),Wind_COST OPTIMIZED GENERATION (kW),Wind_RELIABILITY OPTIMIZED GENERATION (kW),Wind_CURRENT COST/HR,Wind_COST OPTIMIZED COST/HR,Wind_RELIABILITY OPTIMIZED COST/HR,Wind_TOTAL COST (PKR/kWh),Grid_CURRENT GENERATION (kW),Grid_COST OPTIMIZED GENERATION (kW),Grid_RELIABILITY OPTIMIZED GENERATION (kW),Grid_CURRENT COST/HR,Grid_COST OPTIMIZED COST/HR,Grid_RELIABILITY OPTIMIZED COST/HR,Grid_TOTAL COST (PKR/kWh),BESS_CURRENT GENERATION (kW),BESS_COST OPTIMIZED GENERATION (kW),BESS_RELIABILITY OPTIMIZED GENERATION (kW),BESS_CURRENT COST/HR,BESS_COST OPTIMIZED COST/HR,BESS_RELIABILITY OPTIMIZED COST/HR,BESS_TOTAL COST (PKR/kWh),TOTAL_CURRENT GENERATION (kW),TOTAL_COST OPTIMIZED GENERATION (kW),TOTAL_RELIABILITY OPTIMIZED GENERATION (kW),TOTAL_CURRENT COST/HR,TOTAL_COST OPTIMIZED COST/HR,TOTAL_RELIABILITY OPTIMIZED COST/HR,TOTAL_TOTAL COST (PKR/kWh),Diesel_Generator_2.5_MW_Unit_1_CURRENT GENERATION (kW),Diesel_Generator_2.5_MW_Unit_1_COST OPTIMIZED GENERATION (kW),Diesel_Generator_2.5_MW_Unit_1_RELIABILITY OPTIMIZED GENERATION (kW),Diesel_Generator_2.5_MW_Unit_1_CURRENT COST/HR,Diesel_Generator_2.5_MW_Unit_1_COST OPTIMIZED COST/HR,Diesel_Generator_2.5_MW_Unit_1_RELIABILITY OPTIMIZED COST/HR,Diesel_Generator_2.5_MW_Unit_1_TOTAL COST (PKR/kWh),Diesel_Generator_1.5_MW_Unit_1_CURRENT GENERATION (kW),Diesel_Generator_1.5_MW_Unit_1_COST OPTIMIZED GENERATION (kW),Diesel_Generator_1.5_MW_Unit_1_RELIABILITY OPTIMIZED GENERATION (kW),Diesel_Generator_1.5_MW_Unit_1_CURRENT COST/HR,Diesel_Generator_1.5_MW_Unit_1_COST OPTIMIZED COST/HR,Diesel_Generator_1.5_MW_Unit_1_RELIABILITY OPTIMIZED COST/HR,Diesel_Generator_1.5_MW_Unit_1_TOTAL COST (PKR/kWh),Diesel_Generator_1.5_MW_Unit_2_CURRENT GENERATION (kW),Diesel_Generator_1.5_MW_Unit_2_COST OPTIMIZED GENERATION (kW),Diesel_Generator_1.5_MW_Unit_2_RELIABILITY OPTIMIZED GENERATION (kW),Diesel_Generator_1.5_MW_Unit_2_CURRENT COST/HR,Diesel_Generator_1.5_MW_Unit_2_COST OPTIMIZED COST/HR,Diesel_Generator_1.5_MW_Unit_2_RELIABILITY OPTIMIZED COST/HR,Diesel_Generator_1.5_MW_Unit_2_TOTAL COST (PKR/kWh),Gas_Generator_2.5_MW_Unit_1_CURRENT GENERATION (kW),Gas_Generator_2.5_MW_Unit_1_COST OPTIMIZED GENERATION (kW),Gas_Generator_2.5_MW_Unit_1_RELIABILITY OPTIMIZED GENERATION (kW),Gas_Generator_2.5_MW_Unit_1_CURRENT COST/HR,Gas_Generator_2.5_MW_Unit_1_COST OPTIMIZED COST/HR,Gas_Generator_2.5_MW_Unit_1_RELIABILITY OPTIMIZED COST/HR,Gas_Generator_2.5_MW_Unit_1_TOTAL COST (PKR/kWh),Gas_Generator_1.5_MW_Unit_1_CURRENT GENERATION (kW),Gas_Generator_1.5_MW_Unit_1_COST OPTIMIZED GENERATION (kW),Gas_Generator_1.5_MW_Unit_1_RELIABILITY OPTIMIZED GENERATION (kW),Gas_Generator_1.5_MW_Unit_1_CURRENT COST/HR,Gas_Generator_1.5_MW_Unit_1_COST OPTIMIZED COST/HR,Gas_Generator_1.5_MW_Unit_1_RELIABILITY OPTIMIZED COST/HR,Gas_Generator_1.5_MW_Unit_1_TOTAL COST (PKR/kWh),Gas_Generator_1.5_MW_Unit_2_CURRENT GENERATION (kW),Gas_Generator_1.5_MW_Unit_2_COST OPTIMIZED GENERATION (kW),Gas_Generator_1.5_MW_Unit_2_RELIABILITY OPTIMIZED GENERATION (kW),Gas_Generator_1.5_MW_Unit_2_CURRENT COST/HR,Gas_Generator_1.5_MW_Unit_2_COST OPTIMIZED COST/HR,Gas_Generator_1.5_MW_Unit_2_RELIABILITY OPTIMIZED COST/HR,Gas_Generator_1.5_MW_Unit_2_TOTAL COST (PKR/kWh)
case 7,550.0,1245.0,2195.0,3025.0,6847.5,12072.5,5.5,1625.0,0.0,3775.0,8937.5,0.0,20762.5,5.5,3800.0,0.0,5.0,159600.0,0.0,210.0,42.0,0.0,4730.0,0.0,0.0,33110.0,0.0,7.0,5975.0,5975.0,5975.0,171562.5,39957.5,33045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case 1,2200.0,2150.0,2195.0,12100.0,11825.0,12072.5,5.5,6500.0,0.0,3800.0,35750.0,0.0,20900.0,5.5,0.0,0.0,5.0,0.0,0.0,210.0,42.0,0.0,3850.0,0.0,18900.0,26950.0,0.0,7.0,8700.0,6000.0,6000.0,66750.0,38775.0,33182.5,,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,,,,,,,,,,,,,,,,,,,,,
case 1,2200.0,2199.99,2199.99,12100.0,12099.94,12099.94,5.5,6500.0,6500.0,6500.0,35750.0,35750.0,35750.0,5.5,0.0,0.01,0.01,0.0,0.42,0.42,42.0,0.0,0.0,0.0,18900.0,18900.0,18900.0,7.0,8700.0,8700.0,8700.0,66750.0,66750.37,66750.37,,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,,,,,,,,,,,,,,,,,,,,,
case 2,1100.0,2150.0,2195.0,6050.0,11825.0,12072.5,5.5,3250.0,0.0,3800.0,17875.0,0.0,20900.0,5.5,1650.0,0.0,5.0,69300.0,0.0,210.0,42.0,0.0,3850.0,0.0,0.0,26950.0,0.0,7.0,6000.0,6000.0,6000.0,93225.0,38775.0,33182.5,,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,,,,,,,,,,,,,,,,,,,,,
case 2,1100.0,1380.0,2195.0,6050.0,7590.0,12072.5,5.5,3250.0,0.0,3800.0,17875.0,0.0,20900.0,5.5,1650.0,0.0,5.0,69300.0,0.0,210.0,42.0,0.0,4620.0,0.0,0.0,32340.0,0.0,7.0,6000.0,6000.0,6000.0,93225.0,39930.0,33182.5,,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,,,,,,,,,,,,,,,,,,,,,
case 3,,,,,,,,6500.0,6500.0,6495.0,35750.0,35750.0,35722.5,5.5,0.0,0.0,5.0,0.0,0.0,210.0,42.0,0.0,0.0,0.0,3500.0,3500.0,3500.0,7.0,6500.0,6500.0,6500.0,39250.0,39250.0,39432.5,,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,,,,,,,,,,,,,,,,,,,,,
case 4,2199.99,1269.99,2199.99,12099.94,6984.94,12099.94,5.5,,,,,,,,3800.0,0.0,5.0,159600.0,0.0,210.0,42.0,0.0,4730.0,0.0,0.0,33110.0,0.0,7.0,5999.99,5999.99,5999.99,171699.94,40094.94,237942.22,,0.0,0.0,1727.27,0.0,0.0,103636.36,60.0,0.0,0.0,1031.36,0.0,0.0,60850.45,59.0,0.0,0.0,1036.36,0.0,0.0,61145.45,59.0,,,,,,,,,,,,,,,,,,,,,
case 8,1650.0,2200.0,2200.0,9075.0,12100.0,12100.0,5.5,4875.0,4900.0,6500.0,26812.5,26950.0,35750.0,5.5,0.0,0.0,20.0,0.0,0.0,840.0,42.0,0.0,0.0,0.0,3675.0,7700.0,42000.0,7.0,6525.0,7100.0,8720.0,39562.5,46750.0,90690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case 15,,,,,,,,,,,,,,,4700.0,390.0,390.0,197400.0,16380.0,16380.0,42.0,1300.0,5610.0,5610.0,9100.0,39270.0,39270.0,7.0,6000.0,6000.0,6000.0,206500.0,55650.0,55650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case 14,,,,,,,,6000.0,6000.0,6000.0,33000.0,33000.0,33000.0,5.5,,,,,,,,0.0,0.0,0.0,3500.0,3500.0,3500.0,7.0,6000.0,6000.0,6000.0,36500.0,36500.0,36500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
