,Solar_CUR GENERATION (kW),Solar_COST OPT GENERATION (kW),Solar_REL OPT GENERATION (kW),Wind_CUR GENERATION (kW),Wind_COST OPT GENERATION (kW),Wind_REL OPT GENERATION (kW),Grid_CUR GENERATION (kW),Grid_COST OPT GENERATION (kW),Grid_REL OPT GENERATION (kW),BESS_CUR GENERATION (kW),BESS_COST OPT GENERATION (kW),BESS_REL OPT GENERATION (kW),D_GEN_2.5_MW_Unit_1_CUR GENERATION (kW),D_GEN_2.5_MW_Unit_1_COST OPT GENERATION (kW),D_GEN_2.5_MW_Unit_1_REL OPT GENERATION (kW),D_GEN_1.5_MW_Unit_1_CUR GENERATION (kW),D_GEN_1.5_MW_Unit_1_COST OPT GENERATION (kW),D_GEN_1.5_MW_Unit_1_REL OPT GENERATION (kW),D_GEN_1.5_MW_Unit_2_CUR GENERATION (kW),D_GEN_1.5_MW_Unit_2_COST OPT GENERATION (kW),D_GEN_1.5_MW_Unit_2_REL OPT GENERATION (kW),G_GEN_2.5_MW_Unit_1_CUR GENERATION (kW),G_GEN_2.5_MW_Unit_1_COST OPT GENERATION (kW),G_GEN_2.5_MW_Unit_1_REL OPT GENERATION (kW),G_GEN_1.5_MW_Unit_1_CUR GENERATION (kW),G_GEN_1.5_MW_Unit_1_COST OPT GENERATION (kW),G_GEN_1.5_MW_Unit_1_REL OPT GENERATION (kW),G_GEN_1.5_MW_Unit_2_CUR GENERATION (kW),G_GEN_1.5_MW_Unit_2_COST OPT GENERATION (kW),G_GEN_1.5_MW_Unit_2_REL OPT GENERATION (kW),TOTAL_CUR GENERATION (kW),TOTAL_COST OPT GENERATION (kW),TOTAL_REL OPT GENERATION (kW),TOTAL_CUR COST/HR,TOTAL_COST OPT COST/HR,TOTAL_REL OPT COST/HR,TOTAL_TOTAL COST (PKR/kWh)
case 7,550.0,1245.0,2195.0,1625.0,0.0,3775.0,3800.0,0.0,5.0,0.0,4730.0,0.0,,,,,,,,,,,,,,,,,,,5975.0,5975.0,5975.0,171562.5,39957.5,33045.0,
case 1,2200.0,2150.0,2195.0,6500.0,0.0,3800.0,0.0,0.0,5.0,0.0,3850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,8700.0,6000.0,6000.0,66750.0,38775.0,33182.5,
case 1,2200.0,2199.99,2199.99,6500.0,6500.0,6500.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,8700.0,8700.0,8700.0,66750.0,66750.37,66750.37,
case 2,1100.0,2150.0,2195.0,3250.0,0.0,3800.0,1650.0,0.0,5.0,0.0,3850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,6000.0,6000.0,6000.0,93225.0,38775.0,33182.5,
case 2,1100.0,1380.0,2195.0,3250.0,0.0,3800.0,1650.0,0.0,5.0,0.0,4620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,6000.0,6000.0,6000.0,93225.0,39930.0,33182.5,
case 3,,,,6500.0,6500.0,6495.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,6500.0,6500.0,6500.0,39250.0,39250.0,39432.5,
case 4,2199.99,1269.99,2199.99,,,,3800.0,0.0,5.0,0.0,4730.0,0.0,0.0,0.0,1727.27,0.0,0.0,1031.36,0.0,0.0,1036.36,,,,,,,,,,5999.99,5999.99,5999.99,171699.94,40094.94,237942.22,
case 8,1650.0,2200.0,2200.0,4875.0,4900.0,6500.0,0.0,0.0,20.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,6525.0,7100.0,8720.0,39562.5,46750.0,90690.0,
case 15,,,,,,,4700.0,390.0,390.0,1300.0,5610.0,5610.0,,,,,,,,,,,,,,,,,,,6000.0,6000.0,6000.0,206500.0,55650.0,55650.0,
case 14,,,,6000.0,6000.0,6000.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,6000.0,6000.0,6000.0,36500.0,36500.0,36500.0,
case 12,,,,,,,3000.0,0.0,0.0,0.0,5170.0,5170.0,,,,,,,,,,1500.0,0.0,324.98,1000.01,830.01,505.03,500.0,0.0,0.0,6000.01,6000.01,6000.01,246000.4,69390.4,69390.4,
case 11,,,,,,,,,,3000.0,5170.0,0.0,,,,,,,,,,1500.0,0.0,2250.0,1000.01,830.01,1350.0,500.0,0.0,1350.0,6000.01,6000.01,4950.0,141000.4,69390.4,198000.0,
