,Solar_CUR GENERATION (kW),Wind_CUR GENERATION (kW),Grid_CUR GENERATION (kW),BESS_CUR GENERATION (kW),D_GEN_2.5_MW_Unit_1_CUR GENERATION (kW),D_GEN_1.5_MW_Unit_1_CUR GENERATION (kW),D_GEN_1.5_MW_Unit_2_CUR GENERATION (kW),G_GEN_2.5_MW_Unit_1_CUR GENERATION (kW),G_GEN_1.5_MW_Unit_1_CUR GENERATION (kW),G_GEN_1.5_MW_Unit_2_CUR GENERATION (kW),TOTAL_CUR GENERATION (kW),TOTAL_CUR COST/HR,Solar_COST OPT GENERATION (kW),Wind_COST OPT GENERATION (kW),Grid_COST OPT GENERATION (kW),BESS_COST OPT GENERATION (kW),D_GEN_2.5_MW_Unit_1_COST OPT GENERATION (kW),D_GEN_1.5_MW_Unit_1_COST OPT GENERATION (kW),D_GEN_1.5_MW_Unit_2_COST OPT GENERATION (kW),G_GEN_2.5_MW_Unit_1_COST OPT GENERATION (kW),G_GEN_1.5_MW_Unit_1_COST OPT GENERATION (kW),G_GEN_1.5_MW_Unit_2_COST OPT GENERATION (kW),TOTAL_COST OPT GENERATION (kW),TOTAL_COST OPT COST/HR,Solar_REL OPT GENERATION (kW),Wind_REL OPT GENERATION (kW),Grid_REL OPT GENERATION (kW),BESS_REL OPT GENERATION (kW),D_GEN_2.5_MW_Unit_1_REL OPT GENERATION (kW),D_GEN_1.5_MW_Unit_1_REL OPT GENERATION (kW),D_GEN_1.5_MW_Unit_2_REL OPT GENERATION (kW),G_GEN_2.5_MW_Unit_1_REL OPT GENERATION (kW),G_GEN_1.5_MW_Unit_1_REL OPT GENERATION (kW),G_GEN_1.5_MW_Unit_2_REL OPT GENERATION (kW),TOTAL_REL OPT GENERATION (kW),TOTAL_REL OPT COST/HR,TOTAL_TOTAL COST (PKR/kWh)
case 7,550.0,1625.0,3800.0,0.0,,,,,,,5975.0,171562.5,1245.0,0.0,0.0,4730.0,,,,,,,5975.0,39957.5,2195.0,3775.0,5.0,0.0,,,,,,,5975.0,33045.0,
case 1,2200.0,6500.0,0.0,0.0,0.0,0.0,0.0,,,,8700.0,66750.0,2150.0,0.0,0.0,3850.0,0.0,0.0,0.0,,,,6000.0,38775.0,2195.0,3800.0,5.0,0.0,0.0,0.0,0.0,,,,6000.0,33182.5,
case 1,2200.0,6500.0,0.0,0.0,0.0,0.0,0.0,,,,8700.0,66750.0,2199.99,6500.0,0.01,0.0,0.0,0.0,0.0,,,,8700.0,66750.37,2199.99,6500.0,0.01,0.0,0.0,0.0,0.0,,,,8700.0,66750.37,
case 2,1100.0,3250.0,1650.0,0.0,0.0,0.0,0.0,,,,6000.0,93225.0,2150.0,0.0,0.0,3850.0,0.0,0.0,0.0,,,,6000.0,38775.0,2195.0,3800.0,5.0,0.0,0.0,0.0,0.0,,,,6000.0,33182.5,
case 2,1100.0,3250.0,1650.0,0.0,0.0,0.0,0.0,,,,6000.0,93225.0,1380.0,0.0,0.0,4620.0,0.0,0.0,0.0,,,,6000.0,39930.0,2195.0,3800.0,5.0,0.0,0.0,0.0,0.0,,,,6000.0,33182.5,
case 3,,6500.0,0.0,0.0,0.0,0.0,0.0,,,,6500.0,39250.0,,6500.0,0.0,0.0,0.0,0.0,0.0,,,,6500.0,39250.0,,6495.0,5.0,0.0,0.0,0.0,0.0,,,,6500.0,39432.5,
case 4,2199.99,,3800.0,0.0,0.0,0.0,0.0,,,,5999.99,171699.94,1269.99,,0.0,4730.0,0.0,0.0,0.0,,,,5999.99,40094.94,2199.99,,5.0,0.0,1727.27,1031.36,1036.36,,,,5999.99,237942.22,
case 8,1650.0,4875.0,0.0,0.0,,,,,,,6525.0,39562.5,2200.0,4900.0,0.0,0.0,,,,,,,7100.0,46750.0,2200.0,6500.0,20.0,0.0,,,,,,,8720.0,90690.0,
case 15,,,4700.0,1300.0,,,,,,,6000.0,206500.0,,,390.0,5610.0,,,,,,,6000.0,55650.0,,,390.0,5610.0,,,,,,,6000.0,55650.0,
case 14,,6000.0,,0.0,,,,,,,6000.0,36500.0,,6000.0,,0.0,,,,,,,6000.0,36500.0,,6000.0,,0.0,,,,,,,6000.0,36500.0,
case 12,,,3000.0,0.0,,,,1500.0,1000.01,500.0,6000.01,246000.4,,,0.0,5170.0,,,,0.0,830.01,0.0,6000.01,69390.4,,,0.0,5170.0,,,,324.98,505.03,0.0,6000.01,69390.4,
case 11,,,,3000.0,,,,1500.0,1000.01,500.0,6000.01,141000.4,,,,5170.0,,,,0.0,830.01,0.0,6000.01,69390.4,,,,0.0,,,,2250.0,1350.0,1350.0,4950.0,198000.0,
