,ENERGY SOURCE,CURRENT LOAD (kW),COST OPTIMIZED LOAD (kW),RELIABILITY OPTIMIZED LOAD (kW),CURRENT KVAR (kVAR),COST OPTIMIZED KVAR (kVAR),RELIABILITY OPTIMIZED KVAR (kVAR),TOTAL COST (PKR/kWh),PRODUCTION COST (PKR/kWh),CARBON COST (PKR/kWh),CURRENT COST/HR,COST OPTIMIZED COST/HR,RELIABILITY OPTIMIZED COST/HR,COST OPTIMIZED CHARGE (kW),RELIABILITY OPTIMIZED CHARGE (kW),COST OPTIMIZED DISCHARGE (kW),RELIABILITY OPTIMIZED DISCHARGE (kW),GRID FEED (kW),RELIABILITY SCORE,EFFICIENCY SCORE,STATUS,priority
0,Solar,150.0,500.0,0.0,0.0,0.0,0.0,5.5,3.0,2.5,825.0,2750.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.5,Active,2
1,Diesel_1,100.0,0.0,0.0,50.0,0.0,0.0,60.0,20.0,40.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,64.0,Active,8
2,Diesel_2,900.0,0.0,0.0,550.0,0.0,0.0,60.0,20.0,40.0,54000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,64.0,Active,8
3,Diesel_3,100.0,0.0,0.0,50.0,0.0,0.0,60.0,20.0,40.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,64.0,Active,8
4,Diesel_4,100.0,0.0,0.0,50.0,0.0,0.0,60.0,20.0,40.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,64.0,Active,8
5,Gas_1,100.0,500.0,0.0,50.0,300.0,0.0,40.0,15.0,25.0,4000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,43.0,Active,3
6,Gas_2,100.0,500.0,0.0,50.0,300.0,0.0,40.0,15.0,25.0,4000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,43.0,Active,3
7,Gas_3,100.0,500.0,0.0,50.0,300.0,0.0,40.0,15.0,25.0,4000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,43.0,Active,3
8,Gas_4,100.0,500.0,0.0,50.0,300.0,0.0,40.0,15.0,25.0,4000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,43.0,Active,3
9,Grid,1400.0,200.0,0.0,650.0,120.0,0.0,42.0,12.0,30.0,58800.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,48.0,Active,7
10,BESS,0.0,450.0,450.0,0.0,230.0,230.0,7.0,2.0,5.0,0.0,3150.0,3150.0,0.0,0.0,450.0,450.0,0.0,9.0,0.0,Discharging (SOC: 65.0%),1
11,TOTAL,3150.0,3150.0,450.0,1550.0,1550.0,0.0,,,,147625.0,94300.0,3150.0,0.0,0.0,450.0,450.0,0.0,,,Savings: PKR 53325.00/hr,0
